Ranking,Player,Birth,Age,Bloodtype,2023_Prize,Average number of hit,Average Drive ,Average Putting,Average number of birdie,Green Hit Rate,Par Save Rate,Par break Rate,Recovery Rate,Total Win,Major Win,2023_Win
1,박지영,1996,28,A,"445,754,840 ",70.1739,241.58,29.2609,20.5314,74.6377,89.8551,20.7729,65.7143,5,0,1
2,박현경,2000,24,O,"367,826,373 ",71.0357,239.19,29.6786,18.254,71.2302,87.8968,18.254,64.8276,3,2,0
3,이다연,1997,27,O,"287,858,333 ",70.375,245.92,28.6875,20.1389,69.7917,88.5417,20.4861,71.2644,7,3,1
4,이예원,2003,21,A,"286,418,223 ",70.88,241.95,29.68,18.4444,71.5556,88.4444,18.4444,69.5313,1,0,1
5,성유진,2000,24,O,"284,768,210 ",71.4667,236.33,29.9333,14.4444,70,88.5185,14.4444,71.6049,2,0,1
6,방신실,2004,20,A,"278,890,000 ",70.0833,261.9,30.3333,22.2222,79.6296,87.963,23.6111,65.9091,1,0,1
7,홍정민,2002,22,A,"278,890,000 ",71.2083,244.74,29.6667,18.0556,70.8333,86.8056,18.287,64.2857,1,0,0
8,이소영,1997,27,AB,"238,985,889 ",71.2692,245.12,31.1154,17.9487,77.9915,87.3932,17.9487,59.2233,6,0,0
9,임진희,1998,26,AB,"214,549,334 ",71.6,243.5,29.72,19.3333,69.3333,84,19.3333,60.8696,3,0,1
10,이주미,1995,29,A,"213,555,153 ",72.72,241.79,31,13.1111,70.4444,84.4444,13.1111,60.9023,1,0,1
11,최은우,1995,29,B,"195,978,463 ",72.0769,232.4,30.6538,11.9658,71.1538,88.0342,11.9658,68.8889,1,0,1
12,이정민,1992,32,AB,"194,829,042 ",71.8571,243.53,30.6786,15.4762,71.4286,85.7143,15.6746,62.5,10,0,1
13,손예빈,2002,22,A,"187,733,182 ",71.7273,239.86,30.4545,16.6667,72.7273,85.8586,16.9192,61.1111,0,0,0
14,전예성,2001,23,B,"167,035,442 ",71.64,231.89,29.48,15.1111,68.2222,87.7778,15.1111,69.9301,1,0,0
15,유서연2,2003,21,A,"166,460,000 ",72.3077,231.2,29.9615,16.453,67.5214,83.3333,16.453,57.2368,0,0,0
16,박결,1996,28,AB,"162,304,182 ",71.9565,228.35,30.1739,14.7343,69.3237,86.2319,14.7343,66.1417,1,0,0
17,박보겸,1998,26,A,"160,132,000 ",73.6429,242.48,30,13.8889,62.3016,80.5556,14.2857,56.8421,1,0,1
18,최예림,1999,25,A,"158,973,571 ",71.8148,241.43,31.0741,16.0494,75.3086,85.8025,16.2551,59.1667,0,0,0
19,김수지,1996,28,B,"156,342,538 ",71,254.64,30.7727,16.4141,76.7677,89.6465,16.9192,71.7391,4,1,0
20,안선주,1987,37,B,"144,072,335 ",72.15,233.01,29.4,15.2778,66.9444,86.3889,15.2778,69.7479,7,1,0
21,김민별,2004,20,A,"135,990,000 ",71.52,248.28,30.64,17.7778,74,85.7778,18.2222,58.9744,0,0,0
22,고지우,2002,22,A,"127,490,835 ",72.9167,249.1,31.3333,18.9815,71.5278,78.9352,18.9815,52.0325,0,0,0
23,이소미,1999,25,B,"123,974,378 ",71.5,244.14,30.0909,15.9091,70.7071,87.8788,15.9091,66.3793,5,0,0
24,서연정,1995,29,O,"121,575,000 ",72.4091,236.84,30.4091,12.3737,67.4242,85.101,12.8788,64.3411,0,0,0
25,정윤지,2000,24,AB,"109,815,520 ",71.3333,243.86,30.1905,17.4603,73.0159,87.037,17.4603,67.6471,1,0,0
26,나희원,1994,30,O,"106,315,835 ",72.9,235.82,30.45,16.1111,67.2222,80.5556,16.3889,50.8475,0,0,0
27,이가영,1999,25,A,"102,287,223 ",71.7692,238.67,30.1923,17.094,70.7265,85.2564,17.3077,60.5839,1,0,0
28,임희정,2000,24,AB,"101,174,140 ",72.3333,238.65,30.4583,15.0463,69.6759,84.4907,15.0463,64.1221,5,2,0
